time,task,role,kind,status,lean,source,run_id,changed_files,statement_hash,parent_id,route_fingerprint,verifier_evidence,harness,experiment_id,target_fingerprint,route_packet_hash,attempt_id,worker_id,progress_class,reviewer_validated,obligations_before,obligations_after,new_declarations,reused_declarations,dag_nodes,dag_depth,elapsed_seconds,lean_check_seconds,prompt_chars,input_tokens,output_tokens,error_signature,notes
2026-06-25T01:31:20+00:00,BRL-UCB-PORT-001,upper,plan,queued,,,20260625-103120-BRL-UCB-PORT-001-cycle01,[],,,,[],,,,,,,,,,,[],[],,,,,,,,,created hierarchical prompt deck with 3 lower prompts
2026-06-25T01:32:52+00:00,BRL-UCB-PORT-001,upper,plan,queued,,,20260625-103252-BRL-UCB-PORT-001-cycle01,[],,,,[],,,,,,,,,,,[],[],,,,,,,,,created hierarchical prompt deck with 1 lower prompts
2026-06-25T01:32:52+00:00,BRL-UCB-PORT-001,agent,attempt,compiled,,,20260625-103252-BRL-UCB-PORT-001-cycle01,[],,,,[],,,,,,,,,,,[],[],,,,,,,,,executed runs/20260625-103252-BRL-UCB-PORT-001-cycle01/10_upper_director.md in 0.0s
2026-06-25T01:32:52+00:00,BRL-UCB-PORT-001,agent,attempt,compiled,,,20260625-103252-BRL-UCB-PORT-001-cycle01,[],,,,[],,,,,,,,,,,[],[],,,,,,,,,executed runs/20260625-103252-BRL-UCB-PORT-001-cycle01/20_middle_formalizer.md in 0.0s
2026-06-25T01:32:52+00:00,BRL-UCB-PORT-001,agent,attempt,compiled,,,20260625-103252-BRL-UCB-PORT-001-cycle01,[],,,,[],,,,,,,,,,,[],[],,,,,,,,,executed runs/20260625-103252-BRL-UCB-PORT-001-cycle01/31_lower_1.md in 0.0s
2026-06-25T01:32:52+00:00,BRL-UCB-PORT-001,agent,attempt,compiled,,,20260625-103252-BRL-UCB-PORT-001-cycle01,[],,,,[],,,,,,,,,,,[],[],,,,,,,,,executed runs/20260625-103252-BRL-UCB-PORT-001-cycle01/40_reviewer.md in 0.0s
2026-07-17T03:49:25+00:00,EXP3-MIXED-SQUARE-PREDICTABLE-VARIANCE-SPARSE-LOSS-REALIZED-MARKOV-EXPLICIT-TUNING,reviewer,review,accepted,BanditRLProof.Exp3MixedSquarePredictableVarianceSparseLossRealizedMarkovExplicitTuning,BanditRLProof/Exp3MixedSquarePredictableVarianceSparseLossRealizedMarkovExplicitTuning.lean,,[],,,,[],,,,,,,,,,,[],[],,,,,,,,,"Independent local review found no P0-P2; one P3 undefined scale symbol in completion_gap_audit was fixed. Markov normalization, fifth-power contract, constant 14, event inclusion, and four schedule contracts verified."
2026-07-17T03:50:26+00:00,EXP3-MIXED-SQUARE-PREDICTABLE-VARIANCE-SPARSE-LOSS-REALIZED-MARKOV-EXPLICIT-TUNING,lower,build,compiled,BanditRLProof.Exp3MixedSquarePredictableVarianceSparseLossRealizedMarkovExplicitTuning,BanditRLProof/Exp3MixedSquarePredictableVarianceSparseLossRealizedMarkovExplicitTuning.lean,,[],,,,[],,,,,,,,,,,[],[],,,,,,,,,"Compiled explicit fifth-root gamma schedule, characterized 14*gamma*T tail, root import, and Tests.Basic canary; full bandit check passed."
2026-07-17T04:00:34+00:00,EXP3-MIXED-SQUARE-PREDICTABLE-VARIANCE-SPARSE-LOSS-REALIZED-MARKOV-ALL-HORIZON,lower,build,compiled,BanditRLProof.Exp3MixedSquarePredictableVarianceSparseLossRealizedMarkovAllHorizon,BanditRLProof/Exp3MixedSquarePredictableVarianceSparseLossRealizedMarkovAllHorizon.lean,,[],,,,[],,,,,,,,,,,[],[],,,,,,,,,"Compiled all-horizon sparse-loss predictable-variance Markov route with explicit refined branch and strict T+1 fallback; root import, Tests.Basic canary, retrieval sync, and full bandit check passed."
2026-07-17T04:01:40+00:00,EXP3-MIXED-SQUARE-PREDICTABLE-VARIANCE-SPARSE-LOSS-REALIZED-MARKOV-ALL-HORIZON,reviewer,review,accepted,BanditRLProof.Exp3MixedSquarePredictableVarianceSparseLossRealizedMarkovAllHorizon,BanditRLProof/Exp3MixedSquarePredictableVarianceSparseLossRealizedMarkovAllHorizon.lean,,[],,,,[],,,,,,,,,,,[],[],,,,,,,,,"Independent review found no P0-P3. Verified four-condition order, identical eta/gamma across branches, strict T+1 event direction, removal of caller regime premises, and coarse-fallback claim discipline."
2026-07-17T04:14:55+00:00,EXP3-MIXED-SQUARE-PREDICTABLE-VARIANCE-SPARSE-LOSS-REALIZED-MARKOV-AE-SPARSITY-ALL-HORIZON,lower,build,compiled,BanditRLProof.Exp3MixedSquarePredictableVarianceSparseLossRealizedMarkovAESparsityAllHorizon,local,,[],,,,[],,,,,,,,,,,[],[],,,,,,,,,Generalized small-loss mass contracts to exact-measure a.e.; compiled raw a.e.-sparse total-delta and all-horizon consumer; Tests.Basic external canary passed.
